cos, input_signal
1,-1
0.809017,-0.809017
0.309017,-0.309017
-0.434468,0.309017
-0.920689,0.809017
-0.986927,1
-0.758946,0.809017
-0.183357,0.309017
0.564461,-0.309017
0.971122,-0.809017
0.944207,-1
0.601631,-0.809017
-0.0891572,-0.309017
-0.795665,0.309017
-0.995457,0.809017
-0.760923,1
-0.181186,0.809017
0.616589,0.309017
0.999979,-0.309017
0.731391,-0.809017
0.128532,-1
-0.659445,-0.809017
-0.991135,-0.309017
-0.518452,0.309017
0.172714,0.809017
0.829569,1
0.932861,0.809017
0.29069,0.309017
-0.371421,-0.309017
-0.867241,-0.809017
-0.952816,-1
-0.384558,-0.809017
0.275528,-0.309017
0.732166,0.309017
0.995745,0.809017
0.762361,1
0.105556,0.809017
-0.436269,0.309017
-0.81479,-0.309017
-0.999839,-0.809017
-0.711309,-1
-0.0816805,-0.809017
0.418432,-0.309017
0.785355,0.309017
0.998153,0.809017
0.780556,1
0.195306,0.809017
-0.30646,0.309017
-0.689278,-0.309017
-0.972895,-0.809017
-0.884336,-1
-0.363913,-0.809017
0.156775,-0.309017
0.562527,0.309017
0.913415,0.809017
0.958518,1
0.520957,0.809017
-0.0168978,0.309017
-0.445132,-0.309017
-0.842558,-0.809017
-0.991163,-1
-0.633265,-0.809017
-0.0876122,-0.309017
0.359339,0.309017
0.784726,0.809017
0.999541,1
0.700366,0.809017
0.153071,0.309017
-0.307295,-0.309017
-0.748306,-0.809017
-0.999635,-1
-0.734761,-0.809017
-0.18713,-0.309017
0.281637,0.309017
0.730624,0.809017
0.998622,1
0.748754,0.809017
0.200084,0.309017
-0.273213,-0.309017
-0.725519,-0.809017
-0.998282,-1
-0.751236,-0.809017
-0.200879,-0.309017
0.274315,0.309017
0.727245,0.809017
0.998499,1
0.748083,0.809017
0.195979,0.309017
-0.279535,-0.309017
-0.731724,-0.809017
-0.998887,-1
-0.742947,-0.809017
-0.18944,-0.309017
0.285605,0.309017
0.736557,0.809017
0.999227,1
0.737878,0.809017
0.183429,0.309017
-0.290877,-0.309017
-0.7406,-0.809017
